channel_id,subscriber_count,total_video_count
"['아주주아', 'UCekVH0sN97QS53Q3YSTBpog']",1.21만,85
"['그맛 HisTaste', 'UCjJF4FoKw2o5b03UIS2OaJA']",32만,1.1천
"['e상한편집', 'UChefYFmr_go_6ga6akceJvw']",6.11만,122
"['애니픽', 'UCwslbhDHAHhO4sCqQvhMTHg']",5.6천,159
"['뫄옹', 'UCIgYD4-Y4T67_nT7JyVxdnw']",45.8만,1.1천
"['BANGTANTV', 'UCLkAepWjdylmXSltofFvsYQ']",7990만,2.7천
"['유요', 'UCeY7LD_o6Ttao_6s1YiAXdg']",19.8만,120
"['뉴욕 건물주 - New York Building Owner', 'UC9C_NxqqwbZEaviBhChwMXg']",5.96만,401
"['아이엠이응', 'UC6QYsi2Ps-91l0y94BdPFPA']",2.92만,202
"['혜안', 'UC8CIM3d3zDYMk-3T5aAz0yw']",270만,1.6천
"['빅헤드', 'UCAJ-meoCh1TrPZ7La3UpPrw']",63.1만,3.9천
"['퀴즈탐구생활', 'UCRNWmeShukC6OIBKOBS_Rwg']",5.79천,54
"['집사TV', 'UCRsLT5zPV5LBgBM8TJOOg_Q']",64.7만,590
"['랄라TV', 'UCUPa-gJcbYG9Ql8b9H9FBbg']",54.5만,1.5천
"['V I N A', 'UCYXD8bRDT-oFwjH4w19Cl6w']",11.4만,1.5천
"['백앤아', 'UCVwkFKZl7v3V02JR8gLlUyw']",103만,1.4천
"['찐더쿠', 'UCHbyqH3_D4dbUFyEoRrPudw']",1.09만,164
"['랑드샤', 'UCPDYHL1brGUIgqiRuA_bV_g']",22.5만,342
"['굥아님의 리뷰세상', 'UC9FNiG45LYQPBKn3cukVGvA']",28.9만,1.4천
"['이상한설렘', 'UCSJ6cpO7xzYRo273BHoiRpA']",13.7만,125
"['악동 김블루', 'UCNzcxCN_Hh_lu5RCSFXKgGQ']",208만,2.9천
"['민쩌미', 'UCCLD41Qs7YnqLsXhWjkX8qQ']",61.5만,904
"['브레드이발소', 'UCKBt6VowYGmBpXFf3rVhaQA']",249만,1.8천
"['LCK딸깍', 'UCDFMp_QK2oGAtBMqOeuvgsA']",4.75천,244
"['War Thunder. Official channel.', 'UCPZsNertSS82YCT2qX9-wHA']",173만,2천
"['ootb STUDIO', 'UCRmm8763aqO0CoeLCA2jNSA']",169만,936
"['풍서니', 'UCO9VZ658HQAZw9BobykZ9IQ']",1.02천,408
"['군림보', 'UCN5oT4zGJX-_H6pE5isAEeg']",144만,5.9천
"['나는야꼬등어', 'UCsoC-6AN23ZalVdNKgMPaIw']",1.89만,81
"['제프프', 'UCYBV17wHgK0_nIkkvQLW5ZA']",39.3만,128
"['카사노박TV [CASANOPARK]', 'UCfjMjhfjRRy8B0mfqbO_43w']",17.9만,833
"['폭스토리', 'UCQTqKcCkodd7tiRrAzlqo-A']",7.85만,145
"['멜로우TV', 'UCNOYTSGiu9bV6VjqnJa4ojw']",70.4만,553
